sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:541190	Zika virus (ZIKV)	RO:0002460	has vector	EOL:327960	rhesus monkey	GEONAMES:226074	Zika Forest of Uganda			1947	doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:541190	Zika virus (ZIKV)	RO:0002460	has vector	EOL:740699	Aedes aegypti	GEONAMES:1733045	Malaysia				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	has vector	EOL:740699	Aedes aegypti	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:541190	Zika virus (ZIKV)	RO:0002460	has vector	EOL:754947	Aedes furcifer	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:541190	Zika virus (ZIKV)	RO:0002460	has vector	EOL:763990	Aedes apicoargenteus	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:541190	Zika virus (ZIKV)	RO:0002460	has vector	EOL:764133	Aedes africanus		Africa				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	has vector	EOL:764133	Aedes africanus	GEONAMES:226074	Zika Forest of Uganda			1948	doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:541190	Zika virus (ZIKV)	RO:0002460	has vector	EOL:768009	Aedes vitattus	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:541190	Zika virus (ZIKV)	RO:0002460	has vector	EOL:768150	Aedes luteocephalus	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:541190	Zika virus (ZIKV)	RO:0002460	pathogenOf	RO:0002556	Human	GEONAMES:357994	Egypt				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	pathogenOf	RO:0002556	Human	GEONAMES:1269750	India				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	pathogenOf	RO:0002556	Human	GEONAMES:1643084	Indonesia				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	pathogenOf	RO:0002556	Human	GEONAMES:1733045	Malaysia				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	pathogenOf	RO:0002556	Human	GEONAMES:2328926	Nigeria				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	pathogenOf	RO:0002556	Human	GEONAMES:1562822	North Vietnam				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	pathogenOf	RO:0002556	Human	GEONAMES:1168579	Pakistan				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	pathogenOf	RO:0002556	Human	GEONAMES:1605651	Thailand				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	pathogenOf	RO:0002556	Human	GEONAMES:1694008	the Philippines				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	pathogenOf	RO:0002556	Human	GEONAMES:226074	Uganda				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:541190	Zika virus (ZIKV)	RO:0002460	pathogenOf	RO:0002556	Human					1964	doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:327960	rhesus monkey	RO:0002459	vectorOf	EOL:541190	Zika virus (ZIKV)	GEONAMES:226074	Zika Forest of Uganda			1947	doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:740699	Aedes aegypti	RO:0002459	vectorOf	EOL:541190	Zika virus (ZIKV)	GEONAMES:1733045	Malaysia				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:740699	Aedes aegypti	RO:0002459	vectorOf	EOL:541190	Zika virus (ZIKV)	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:754947	Aedes furcifer	RO:0002459	vectorOf	EOL:541190	Zika virus (ZIKV)	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:763990	Aedes apicoargenteus	RO:0002459	vectorOf	EOL:541190	Zika virus (ZIKV)	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:764133	Aedes africanus	RO:0002459	vectorOf	EOL:541190	Zika virus (ZIKV)		Africa				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:764133	Aedes africanus	RO:0002459	vectorOf	EOL:541190	Zika virus (ZIKV)	GEONAMES:226074	Zika Forest of Uganda			1948	doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:768009	Aedes vitattus	RO:0002459	vectorOf	EOL:541190	Zika virus (ZIKV)	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:768150	Aedes luteocephalus	RO:0002459	vectorOf	EOL:541190	Zika virus (ZIKV)	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:740699	Aedes aegypti	RO:0002444	parasiteOf	RO:0002556	Human	GEONAMES:1733045	Malaysia				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:740699	Aedes aegypti	RO:0002444	parasiteOf	RO:0002556	Human	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:754947	Aedes furcifer	RO:0002444	parasiteOf	RO:0002556	Human	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:763990	Aedes apicoargenteus	RO:0002444	parasiteOf	RO:0002556	Human	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:764133	Aedes africanus	RO:0002444	parasiteOf	RO:0002556	Human		Africa				doi: 10.3201/eid1408.080287	Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, et al. Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis [serial on the Internet]. 2008 Aug [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/14/8/08-0287
EOL:764133	Aedes africanus	RO:0002444	parasiteOf	RO:0002556	Human	GEONAMES:226074	Zika Forest of Uganda			1948	doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:768009	Aedes vitattus	RO:0002444	parasiteOf	RO:0002556	Human	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
EOL:768150	Aedes luteocephalus	RO:0002444	parasiteOf	RO:0002556	Human	GEONAMES:226074	Zika Forest of Uganda				doi: 10.3201/eid1509.090442	Hayes EB. Zika virus outside Africa. Emerg Infect Dis [serial on the Internet]. 2009 Sep [2/14/2016]. Available from http://wwwnc.cdc.gov/eid/article/15/9/09-0442
